label,Year,Month,include,freq,fixfreq,freqerr,Amp noise level,amp,fixamp,amperr,phase,brute,fixphase,phaseerr,Multiplet Freq,Multiplet Difference,Combination Difference,Combination Sum,Periods
f1101,1990,8,TRUE,1165.317542,FALSE,0.016026346,2.452934811,19.36302209,FALSE,0.391353701,0.527390591,FALSE,FALSE,0.00322277,,,,,
f8116,2013,0,,1166.2425,,0.0306,0,5.0475,,0.37921,,,,,"f8100, f8108, f8109, f8177, f8178","3.7382, 8.655899999999974, 4.448900000000094, 3.4238000000000284, 2.9925000000000637",,,857.4546031
f9017,2020,0,,1166.51,,0.2,0,5.8,,0.3,,,,,f9018,2.46,,,
f8177,2013,0,,1169.6663,,0.0285,0,4.3507,,0.34454,,,,,"f8100, f8101, f8105, f8109, f8116, f8178","7.16200000000003, 9.516199999999799, 8.96979999999985, 7.872700000000123, 3.4238000000000284, 6.416300000000092",,,854.9446966
f1500,1990,11,TRUE,1170.14573,FALSE,0.008427658,3.975933877,52.79370656,FALSE,0.392917048,0.144723006,FALSE,FALSE,0.001184692,,,,,
f1114,1988,10,,1171.3446,,0.2062,0,1.5064,,,,,,,,,,,853.7197337
f1018,1988,12,,1171.7402,,0.0163,0,1.5109,,,,,,,,,,,853.431503
f8105,2013,0,,1178.6361,,0.019,0,9.8969,,0.39449,,,,,"f8101, f8123, f8156, f8177","0.546399999999948, 5.917000000000144, 4.134600000000091, 8.96979999999985",,,848.4382924
f8101,2013,0,,1179.1825,,0.0147,0,12.696,,0.39487,,,,,"f8105, f8123, f8156, f8177","0.546399999999948, 5.370600000000195, 3.5882000000001426, 9.516199999999799",,,848.0451499
f4105,2003,0,TRUE,1180.743262,FALSE,0.01292035,2.283799702,11.03435372,FALSE,0.330508989,0.292340825,FALSE,FALSE,0.004759392,,,,,
f9226,2022,9,TRUE,1181.674668,FALSE,0.00992597,0.664442269,1.555153143,FALSE,0.069264713,0.462167387,FALSE,FALSE,0.007091021,,,,,
f8156,2013,0,,1182.7707,,0.0314,0,5.3986,,0.31695,,,,,"f8101, f8105, f8120, f8123","3.58820000000014, 4.134600000000091, 7.216799999999921, 1.7824000000000524",,,845.4724149
f1400,1990,10,TRUE,1182.77965,FALSE,0.003746131,3.552673163,33.6929782,FALSE,0.563465283,0.117684351,FALSE,FALSE,0.002658797,,,,,
f1600,1990,12,TRUE,1183.657404,FALSE,0.044086812,4.81294557,34.25620499,FALSE,0.747041511,0.663832475,FALSE,FALSE,0.003523645,,,,,
f8123,2013,0,,1184.5531,,0.0473,0,3.194,,0.29163,,,,,"f8101, f8105, f8120, f8156","5.37060000000019, 5.917000000000144, 5.434399999999869, 1.7824000000000524",,,844.2002305
f8120,2013,0,,1189.9875,,0.0224,0,5.3252,,0.28908,,,,,"f8123, f8156, f8157","5.43439999999986, 7.216799999999921, 7.845199999999977",,,840.3449616
f9114,2021,8,TRUE,1193.39511,FALSE,0.021755129,0.9027398,0.936361097,FALSE,0.087120241,0.554791267,FALSE,FALSE,0.014796069,,,,,
f0103,1985,9,TRUE,1195.115712,FALSE,0.062336787,3.93177497,20.64250937,FALSE,0.822921445,0.035926344,FALSE,FALSE,0.006313825,,,,,
f1019,1988,12,,1195.9291,,0.0057,0,3.8354,,,,,,,,,,,836.1699703
f8157,2013,0,,1197.8327,,0.0384,0,2.5773,,0.25471,,,,,"f8120, f8151","7.84519999999997, 4.513100000000122",,,834.841126
f1115,1988,10,,1198.0594,,0.2733,0,1.0218,,,,,,,,,,,834.6831551
f1200,1990,6,TRUE,1201.428896,FALSE,0.054599588,4.478421347,37.05132188,FALSE,0.554437755,0.959688892,FALSE,FALSE,0.0023634,,,,,
f8151,2013,0,,1202.3458,,0.0317,0,3.3023,,0.26772,,,,,"f8103, f8157","9.57489999999984, 4.513100000000122",,,831.7074838
f0603,1989,10,TRUE,1205.454632,FALSE,0.047960852,1.792425168,2.155789134,FALSE,0.223880232,0.534981008,FALSE,FALSE,0.016584554,,,,,
f7011,2008,9,TRUE,1209.238549,,0.06728323,0,11.67995942,,,,,,,"f7012, f7013, f7014, f7015","0.416434279999975, 0.7280394699998851, 1.5375198199999431, 1.671441409999943",,,826.96669
f7012,2008,9,TRUE,1209.654983,,0.03528012,0,9.48802268,,,,,,,"f7011, f7013, f7014, f7015","0.416434279999975, 0.31160518999990927, 1.1210855399999673, 1.2550071299999672",,,826.6819995
f7013,2008,9,TRUE,1209.966588,,0.45864757,0,9.33392183,,,,,,,"f7011, f7012, f7014, f7015","0.728039469999885, 0.31160518999990927, 0.809480350000058, 0.943401940000058",,,826.4691024
f9203,2022,9,TRUE,1210.469133,FALSE,0.001651214,0.664442269,8.663447481,FALSE,0.069266151,0.928040132,FALSE,FALSE,0.001272752,,,,,
f8202,2017,10,TRUE,1210.603783,FALSE,0.037170919,4.970141408,18.00256739,FALSE,1.06106427,0.318376603,FALSE,FALSE,0.009383898,,,,,
